PRODCODE,PRODDATE,CONTRACTNO,WONO,ITEMNO,CATCOD,ITEMSIZE,CUTSIZE,CUTSHT,CUTTIMES,REALSHT,CUTWEIGHT,CTRTYPE,DONO
1,43076,0154K17,0332K17,171107011#,008,01.40-1210.0-COIL.,01.40-0601.0-COIL.,2,2,4,7708.7,1,0059L17
1,43076,0154K17,0334K17,171107064#,008,01.40-1210.0-COIL.,01.40-0601.0-COIL.,2,2,4,7271.6,1,0059L17
1,43076,0154K17,0335K17,171107089#,008,01.40-1210.0-COIL.,01.40-0601.0-COIL.,2,2,4,7668.96,1,0059L17
1,43076,0154K17,0336K17,171107090#,008,01.40-1210.0-COIL.,01.40-0601.0-COIL.,2,2,4,7410.68,1,0059L17
1,43073,0154K17,0330K17,171107083#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7698.76,1,0059L17
1,43073,0154K17,0320K17,171107020#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7470.28,1,0059L17
1,43073,0154K17,0319K17,171107019#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7698.76,1,0059L17
1,43073,0154K17,0331K17,171107087#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7748.42,1,0059L17
1,43073,0154K17,0321K17,171107021#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7738.5,1,0059L17
1,43076,0154K17,0322K17,171107044#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7470.28,1,0059L17
1,43073,0154K17,0323K17,171107045#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7470.28,1,0059L17
1,43073,0154K17,0324K17,171107057#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7480.22,1,0059L17
1,43073,0154K17,0325K17,171107061#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7460.34,1,0059L17
1,43073,0154K17,0326K17,171107067#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7579.56,1,0059L17
1,43073,0154K17,0327K17,171107068#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7460.34,1,0059L17
1,43073,0154K17,0328K17,171107069#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7470.28,1,0059L17
1,43073,0154K17,0329K17,171107082#,008,01.00-1210.0-COIL.,01.00-0601.0-COIL.,2,2,4,7738.5,1,0059L17
1,43073,0154K17,0337K17,171107097#,008,01.40-1210.0-COIL.,01.40-0601.0-COIL.,2,2,4,7609.36,1,0059L17
1,43076,0154K17,0338K17,171107098#,008,01.40-1210.0-COIL.,01.40-0601.0-COIL.,2,2,4,7698.76,1,0059L17
2,43076,0045L17,0084L17,170301945,001,01.20-1219.0-COIL.,01.20-1219.0-2438.0,385,1,385,10590,2,0051L17
2,43076,0044L17,0083L17,171207390,076,06.00-1219.0-COIL.,06.00-1219.0-2438.0,68,1,68,9645,2,0050L17
1,43076,0027L17,0059L17,171207413,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1289.99,2,0049L17
1,43076,0027L17,0059L17,171207413,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,374.88,2,0049L17
1,43076,,0059L17,171207413,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,1681.38,2,
1,43076,0027L17,0059L17,171207413,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1289.99,2,0049L17
1,43076,0027L17,0059L17,171207413,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,374.88,2,0049L17
1,43076,0027L17,0058L17,171207409,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1289.99,2,0049L17
1,43076,0027L17,0058L17,171207409,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,374.88,2,0049L17
1,43076,,0058L17,171207409,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,1681.38,2,
1,43076,0027L17,0058L17,171207409,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1289.99,2,0049L17
1,43076,0027L17,0058L17,171207409,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,374.88,2,0049L17
1,43076,0027L17,0057L17,171207408,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1289.99,2,0049L17
1,43076,0027L17,0057L17,171207408,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,374.88,2,0049L17
1,43076,,0057L17,171207408,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,1681.38,2,
1,43076,0027L17,0057L17,171207408,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1289.99,2,0049L17
1,43076,0027L17,0057L17,171207408,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,374.88,2,0049L17
1,43076,0027L17,0052L17,171207412,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1547.26,2,0049L17
1,43076,0027L17,0052L17,171207412,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,449.6,2,0049L17
1,43076,,0052L17,171207412,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,2016.65,2,
1,43076,0027L17,0052L17,171207412,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1547.26,2,0049L17
1,43076,0027L17,0052L17,171207412,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,449.6,2,0049L17
1,43076,0027L17,0053L17,171207416,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1560.65,2,0049L17
1,43076,0027L17,0053L17,171207416,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,453.52,2,0049L17
1,43076,,0053L17,171207416,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,2034.17,2,
1,43076,0027L17,0053L17,171207416,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1560.65,2,0049L17
1,43076,0027L17,0053L17,171207416,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,453.52,2,0049L17
1,43076,0027L17,0054L17,171207417,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1272.7,2,0049L17
1,43076,0027L17,0054L17,171207417,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,369.84,2,0049L17
1,43076,,0054L17,171207417,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,1658.86,2,
1,43076,0027L17,0054L17,171207417,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1272.7,2,0049L17
1,43076,0027L17,0054L17,171207417,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,369.84,2,0049L17
1,43076,0027L17,0055L17,171207418,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1272.7,2,0049L17
1,43076,0027L17,0055L17,171207418,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,369.84,2,0049L17
1,43076,,0055L17,171207418,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,1658.86,2,
1,43076,0027L17,0055L17,171207418,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1272.7,2,0049L17
1,43076,0027L17,0055L17,171207418,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,369.84,2,0049L17
1,43076,0027L17,0056L17,171207419,027,00.30-1219.0-COIL.,00.30-0036.0-COIL.,13,1,13,1278.42,2,0049L17
1,43076,0027L17,0056L17,171207419,027,00.30-1219.0-COIL.,00.30-0034.0-COIL.,4,1,4,371.52,2,0049L17
1,43076,,0056L17,171207419,027,00.30-1219.0-COIL.,00.30-0610.0-COIL.,1,1,1,1666.37,2,
1,43076,0027L17,0056L17,171207419,027,00.30-0610.0-COIL.,00.30-0036.0-COIL.,13,1,13,1278.42,2,0049L17
1,43076,0027L17,0056L17,171207419,027,00.30-0610.0-COIL.,00.30-0034.0-COIL.,4,1,4,371.52,2,0049L17
2,43061,,0431K17,171107196,076,06.00-1219.0-COIL.,06.00-1219.0-1275.0,4,1,4,296.28,2,
2,43061,,0431K17,171107196,076,06.00-1219.0-COIL.,06.00-1219.0-1455.0,19,1,19,1605.99,2,
2,43061,,0431K17,171107196,076,06.00-1219.0-COIL.,06.00-1219.0-1215.0,15,1,15,1058.75,2,
